Unnamed: 0,Ocupaciones,Habilidades
481,"9-2: Peones agropecuarios, pesqueros y forestales ",1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
482,4-3: Empleados contables y encargados del registro de materiales ,1-6-12: lavar y mantener textiles y prendas de vestir 
483,1-2: Directores administradores y comerciales ,1-4-8: reclutar y contratar 
484,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
485,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-4-2: desarrollar objetivos y estrategias 
486,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
487,1-2: Directores administradores y comerciales ,1-4-2: desarrollar objetivos y estrategias 
488,4-2: Empleados en trato directo con el público ,1-4-2: desarrollar objetivos y estrategias 
489,3-2: Profesionales de nivel medio de la salud ,1-1-15: utilizar más de una lengua 
490,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
491,5-1: Trabajadores de los servicios personales ,1-6-10: manipular animales 
492,2-1: Profesionales de las ciencias y de la ingeniería ,"1-2-9: realizar seguimiento, inspección y ensayos "
493,9-4: Ayudantes de preparación de alimentos ,1-3-6: preparar y servir alimentos y bebidas 
494,4-4: Otro personal de apoyo administrativo ,1-2-6: medir propiedades físicas 
495,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-2-1: competencias en materia de información 
496,5-2: Vendedores ,1-6-11: limpiar 
497,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-4-3: organizar, planificar y programar trabajo y actividades "
498,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-6: prestar asesoramiento y consultoría 
499,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
500,3-2: Profesionales de nivel medio de la salud ,1-1-6: prestar asesoramiento y consultoría 
501,4-2: Empleados en trato directo con el público ,1-1-13: escribir y redactar 
502,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
503,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
504,9-5: Vendedores ambulantes de servicios y afines ,1-1-2: negociar 
505,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
506,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-1-4: enseñar y formar 
507,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-4-5: realizar tareas administrativas 
508,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-13: escribir y redactar 
509,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
510,5-2: Vendedores ,"1-1-12: crear materiales artísticos, visuales o docentes "
511,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
512,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-6-11: limpiar 
513,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-3: documentar y registrar información 
514,5-4: Personal de los servicios de protección ,1-1-2: negociar 
515,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-8-7: utilizar instrumentos y equipos de precisión 
516,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-7-4: rematar estructuras interiores o exteriores 
517,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-4-7: crear y desarrollar equipos 
518,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-4: proteger y velar por el cumplimiento 
519,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
520,8-2: Ensambladores ,1-3-6: preparar y servir alimentos y bebidas 
521,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-2-5: procesar información 
522,4-3: Empleados contables y encargados del registro de materiales ,1-4-5: realizar tareas administrativas 
523,4-2: Empleados en trato directo con el público ,1-3-2: ofrecer orientación 
524,"9-2: Peones agropecuarios, pesqueros y forestales ","1-6-7: elaborar moldes, formas, modelos y patrones "
525,5-2: Vendedores ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
526,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
527,"9-2: Peones agropecuarios, pesqueros y forestales ","1-8-8: instalar, mantener y reparar equipos mecánicos "
528,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-3-7: prestar cuidados personales en general 
529,4-3: Empleados contables y encargados del registro de materiales ,1-3-5: facilitar información y apoyo al público y a los clientes 
530,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-7-3: instalar infraestructura interior o exterior 
531,2-3: Profesionales de la enseñanza ,1-1-14: actuar y entretener 
532,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
533,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-2-7: calcular y estimar 
534,5-1: Trabajadores de los servicios personales ,"1-2-9: realizar seguimiento, inspección y ensayos "
535,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
536,5-1: Trabajadores de los servicios personales ,1-6-10: manipular animales 
537,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-1-10: solucionar problemas 
538,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-10: manipular animales 
539,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-6-3: mover y elevar 
540,4-3: Empleados contables y encargados del registro de materiales ,1-4-9: supervisar a personas 
541,1-3: Directores y gerentes de producción y operaciones ,1-1-4: enseñar y formar 
542,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-1-7: promocionar, vender y comprar "
543,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-3: mover y elevar 
544,4-4: Otro personal de apoyo administrativo ,1-2-4: gestionar información 
545,8-1: Operadores de instalaciones fijas y máquinas ,"1-2-9: realizar seguimiento, inspección y ensayos "
546,4-4: Otro personal de apoyo administrativo ,1-4-2: desarrollar objetivos y estrategias 
547,1-2: Directores administradores y comerciales ,"1-1-7: promocionar, vender y comprar "
548,7-3: Artesanos y operarios de las artes gráficas ,1-1-15: utilizar más de una lengua 
549,"2-6: Profesionales en derecho, en ciencias sociales y culturales ","1-2-2: realizar estudios, investigaciones y análisis "
550,2-3: Profesionales de la enseñanza ,1-6-10: manipular animales 
551,"9-2: Peones agropecuarios, pesqueros y forestales ",1-3-6: preparar y servir alimentos y bebidas 
552,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-8-2: operar maquinaria móvil 
553,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-1-8: obtener información verbal 
554,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
555,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
556,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ","1-6-9: colocar materiales, herramientas o equipos "
557,2-1: Profesionales de las ciencias y de la ingeniería ,"1-6-9: colocar materiales, herramientas o equipos "
558,1-3: Directores y gerentes de producción y operaciones ,1-3-7: prestar cuidados personales en general 
559,4-4: Otro personal de apoyo administrativo ,1-3-5: facilitar información y apoyo al público y a los clientes 
560,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-3-6: preparar y servir alimentos y bebidas 
561,5-1: Trabajadores de los servicios personales ,1-6-10: manipular animales 
562,1-3: Directores y gerentes de producción y operaciones ,1-2-7: calcular y estimar 
563,1-2: Directores administradores y comerciales ,1-3-5: facilitar información y apoyo al público y a los clientes 
564,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
565,1-3: Directores y gerentes de producción y operaciones ,1-2-4: gestionar información 
566,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-11: diseñar sistemas y productos 
567,"2-6: Profesionales en derecho, en ciencias sociales y culturales ","1-1-1: comunicación, colaboración y creatividad "
568,5-1: Trabajadores de los servicios personales ,1-1-3: actuar como enlace y crear redes de contactos 
569,5-2: Vendedores ,1-6-5: ocuparse de plantas y cultivos 
570,4-2: Empleados en trato directo con el público ,"1-4-3: organizar, planificar y programar trabajo y actividades "
571,4-2: Empleados en trato directo con el público ,1-4-2: desarrollar objetivos y estrategias 
572,1-2: Directores administradores y comerciales ,1-3-6: preparar y servir alimentos y bebidas 
573,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-6-9: colocar materiales, herramientas o equipos "
574,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
575,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
576,5-1: Trabajadores de los servicios personales ,1-3-4: proteger y velar por el cumplimiento 
577,1-3: Directores y gerentes de producción y operaciones ,1-6-5: ocuparse de plantas y cultivos 
578,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-8-3: conducir vehículos 
579,4-1: Oficinistas ,"1-2-2: realizar estudios, investigaciones y análisis "
580,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
581,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-2-2: realizar estudios, investigaciones y análisis "
582,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
583,2-2: Profesionales de la salud ,1-1-4: enseñar y formar 
584,4-1: Oficinistas ,1-6-10: manipular animales 
585,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
586,9-5: Vendedores ambulantes de servicios y afines ,1-4-10: tomar decisiones 
587,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
588,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
589,9-1: Limpiadores y asistentes ,"1-6-7: elaborar moldes, formas, modelos y patrones "
590,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,"1-2-2: realizar estudios, investigaciones y análisis "
591,3-2: Profesionales de nivel medio de la salud ,"1-2-9: realizar seguimiento, inspección y ensayos "
592,3-2: Profesionales de nivel medio de la salud ,1-3-7: prestar cuidados personales en general 
593,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-7-3: instalar infraestructura interior o exterior 
594,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-1-14: actuar y entretener 
595,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
596,8-2: Ensambladores ,1-6-6: ensamblar y fabricar productos 
597,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-3-7: prestar cuidados personales en general 
598,1-3: Directores y gerentes de producción y operaciones ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
599,3-2: Profesionales de nivel medio de la salud ,1-6-10: manipular animales 
600,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-4-4: asignar y controlar recursos 
601,4-4: Otro personal de apoyo administrativo ,1-6-13: manipular y eliminar residuos y materiales peligrosos 
602,9-5: Vendedores ambulantes de servicios y afines ,1-4-2: desarrollar objetivos y estrategias 
603,5-2: Vendedores ,1-3-4: proteger y velar por el cumplimiento 
604,1-3: Directores y gerentes de producción y operaciones ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
605,5-3: Trabajadores de los cuidados personales ,1-3-7: prestar cuidados personales en general 
606,9-5: Vendedores ambulantes de servicios y afines ,1-3-7: prestar cuidados personales en general 
607,3-2: Profesionales de nivel medio de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
608,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
609,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
610,5-4: Personal de los servicios de protección ,"1-1-7: promocionar, vender y comprar "
611,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
612,2-4: Especialistas en organización de la administración pública y de empresas ,1-2-8: analizar y evaluar información y datos 
613,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-8-7: utilizar instrumentos y equipos de precisión 
614,4-2: Empleados en trato directo con el público ,1-4-9: supervisar a personas 
615,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
616,5-2: Vendedores ,1-6-5: ocuparse de plantas y cultivos 
617,1-2: Directores administradores y comerciales ,"1-2-9: realizar seguimiento, inspección y ensayos "
618,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
619,9-5: Vendedores ambulantes de servicios y afines ,1-3-1: prestar asistencia y cuidados 
620,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
621,8-1: Operadores de instalaciones fijas y máquinas ,1-8-6: operar maquinaria para la fabricación de productos 
622,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-1-7: promocionar, vender y comprar "
623,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
624,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
625,1-2: Directores administradores y comerciales ,"1-1-7: promocionar, vender y comprar "
626,"9-2: Peones agropecuarios, pesqueros y forestales ",1-8-1: trabajar con maquinaria y equipo especializado 
627,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
628,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
629,8-2: Ensambladores ,1-6-6: ensamblar y fabricar productos 
630,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
631,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-6-3: mover y elevar 
632,5-4: Personal de los servicios de protección ,1-3-4: proteger y velar por el cumplimiento 
633,"9-2: Peones agropecuarios, pesqueros y forestales ",1-4-5: realizar tareas administrativas 
634,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ","1-4-3: organizar, planificar y programar trabajo y actividades "
635,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
636,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-6-4: transformar y mezclar materiales 
637,2-4: Especialistas en organización de la administración pública y de empresas ,1-4-9: supervisar a personas 
638,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-4-5: realizar tareas administrativas 
639,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
640,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
641,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
642,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
643,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
644,4-1: Oficinistas ,1-8-2: operar maquinaria móvil 
645,4-2: Empleados en trato directo con el público ,"1-2-2: realizar estudios, investigaciones y análisis "
646,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
647,2-3: Profesionales de la enseñanza ,1-4-7: crear y desarrollar equipos 
648,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
649,5-1: Trabajadores de los servicios personales ,1-3-4: proteger y velar por el cumplimiento 
650,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
651,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-5-2: programar sistemas informáticos 
652,9-5: Vendedores ambulantes de servicios y afines ,1-3-2: ofrecer orientación 
653,9-1: Limpiadores y asistentes ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
654,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-10: manipular animales 
655,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-1-3: actuar como enlace y crear redes de contactos 
656,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-1-4: enseñar y formar 
657,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-2: desarrollar objetivos y estrategias 
658,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-5: presentar información 
659,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-1-1: comunicación, colaboración y creatividad "
660,2-2: Profesionales de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
661,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-1-7: promocionar, vender y comprar "
662,8-2: Ensambladores ,"1-1-7: promocionar, vender y comprar "
663,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-2-8: analizar y evaluar información y datos 
664,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
665,2-4: Especialistas en organización de la administración pública y de empresas ,1-4-9: supervisar a personas 
666,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-2: desarrollar objetivos y estrategias 
667,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
668,4-2: Empleados en trato directo con el público ,"1-2-9: realizar seguimiento, inspección y ensayos "
669,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
670,2-1: Profesionales de las ciencias y de la ingeniería ,1-3-4: proteger y velar por el cumplimiento 
671,2-2: Profesionales de la salud ,1-1-9: trabajar con otros 
672,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
673,5-3: Trabajadores de los cuidados personales ,1-2-6: medir propiedades físicas 
674,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
675,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
676,4-1: Oficinistas ,1-3-5: facilitar información y apoyo al público y a los clientes 
677,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
678,4-1: Oficinistas ,1-6-1: manipular y mover 
679,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
680,1-2: Directores administradores y comerciales ,1-1-4: enseñar y formar 
681,9-5: Vendedores ambulantes de servicios y afines ,"1-4-3: organizar, planificar y programar trabajo y actividades "
682,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-8-8: instalar, mantener y reparar equipos mecánicos "
683,7-3: Artesanos y operarios de las artes gráficas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
684,1-2: Directores administradores y comerciales ,1-3-2: ofrecer orientación 
685,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
686,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-8: instalar, mantener y reparar equipos mecánicos "
687,1-3: Directores y gerentes de producción y operaciones ,1-7-1: construir 
688,4-1: Oficinistas ,"1-2-9: realizar seguimiento, inspección y ensayos "
689,4-2: Empleados en trato directo con el público ,1-8-3: conducir vehículos 
690,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-12: lavar y mantener textiles y prendas de vestir 
691,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-2: negociar 
692,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-12: lavar y mantener textiles y prendas de vestir 
693,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-8: reclutar y contratar 
694,2-3: Profesionales de la enseñanza ,1-5-2: programar sistemas informáticos 
695,4-4: Otro personal de apoyo administrativo ,1-2-4: gestionar información 
696,1-3: Directores y gerentes de producción y operaciones ,1-3-2: ofrecer orientación 
697,9-1: Limpiadores y asistentes ,"1-4-3: organizar, planificar y programar trabajo y actividades "
698,5-2: Vendedores ,1-3-6: preparar y servir alimentos y bebidas 
699,2-1: Profesionales de las ciencias y de la ingeniería ,1-8-7: utilizar instrumentos y equipos de precisión 
700,1-2: Directores administradores y comerciales ,1-3-1: prestar asistencia y cuidados 
701,1-2: Directores administradores y comerciales ,1-1-3: actuar como enlace y crear redes de contactos 
702,2-1: Profesionales de las ciencias y de la ingeniería ,"1-2-9: realizar seguimiento, inspección y ensayos "
703,2-1: Profesionales de las ciencias y de la ingeniería ,1-1-13: escribir y redactar 
704,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-1-9: trabajar con otros 
705,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-6-8: utilizar herramientas manuales 
706,2-3: Profesionales de la enseñanza ,1-4-1: capacidades de gestión 
707,4-4: Otro personal de apoyo administrativo ,1-6-13: manipular y eliminar residuos y materiales peligrosos 
708,5-4: Personal de los servicios de protección ,1-5-3: configurar y proteger sistemas informáticos 
709,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
710,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
711,4-2: Empleados en trato directo con el público ,1-6-11: limpiar 
712,5-4: Personal de los servicios de protección ,1-6-10: manipular animales 
713,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-3-6: preparar y servir alimentos y bebidas 
714,7-3: Artesanos y operarios de las artes gráficas ,1-6-8: utilizar herramientas manuales 
715,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
716,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
717,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-3: mover y elevar 
718,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
719,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-1-13: escribir y redactar 
720,2-3: Profesionales de la enseñanza ,1-6-10: manipular animales 
721,3-2: Profesionales de nivel medio de la salud ,1-3-5: facilitar información y apoyo al público y a los clientes 
722,2-1: Profesionales de las ciencias y de la ingeniería ,1-6-3: mover y elevar 
723,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-1-13: escribir y redactar 
724,9-5: Vendedores ambulantes de servicios y afines ,"1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
725,5-3: Trabajadores de los cuidados personales ,"1-2-2: realizar estudios, investigaciones y análisis "
726,1-3: Directores y gerentes de producción y operaciones ,1-2-7: calcular y estimar 
727,9-5: Vendedores ambulantes de servicios y afines ,1-3-2: ofrecer orientación 
728,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
729,5-2: Vendedores ,"1-1-7: promocionar, vender y comprar "
730,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-2: negociar 
731,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
732,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-4: gestionar información 
733,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-8-7: utilizar instrumentos y equipos de precisión 
734,5-3: Trabajadores de los cuidados personales ,1-6-10: manipular animales 
735,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
736,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-8-7: utilizar instrumentos y equipos de precisión 
737,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-7-1: construir 
738,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-2: realizar estudios, investigaciones y análisis "
739,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-6-9: colocar materiales, herramientas o equipos "
740,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,"1-6-7: elaborar moldes, formas, modelos y patrones "
741,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ","1-8-8: instalar, mantener y reparar equipos mecánicos "
742,2-3: Profesionales de la enseñanza ,"1-2-9: realizar seguimiento, inspección y ensayos "
743,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-4-5: realizar tareas administrativas 
744,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,"1-6-9: colocar materiales, herramientas o equipos "
745,8-2: Ensambladores ,"1-6-9: colocar materiales, herramientas o equipos "
746,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
747,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-1-13: escribir y redactar 
748,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
749,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
750,5-2: Vendedores ,1-6-5: ocuparse de plantas y cultivos 
751,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-8: instalar, mantener y reparar equipos mecánicos "
752,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-7-1: construir 
753,3-2: Profesionales de nivel medio de la salud ,1-5-3: configurar y proteger sistemas informáticos 
754,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-9: supervisar a personas 
755,9-4: Ayudantes de preparación de alimentos ,"1-4-3: organizar, planificar y programar trabajo y actividades "
756,5-1: Trabajadores de los servicios personales ,1-1-4: enseñar y formar 
757,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-1: manipular y mover 
758,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-8-10: operar aeronaves 
759,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
760,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-6-10: manipular animales 
761,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
762,1-3: Directores y gerentes de producción y operaciones ,1-4-2: desarrollar objetivos y estrategias 
763,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-8-7: utilizar instrumentos y equipos de precisión 
764,8-2: Ensambladores ,1-4-8: reclutar y contratar 
765,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-4-4: asignar y controlar recursos 
766,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
767,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
768,1-3: Directores y gerentes de producción y operaciones ,1-1-15: utilizar más de una lengua 
769,4-4: Otro personal de apoyo administrativo ,1-7-4: rematar estructuras interiores o exteriores 
770,2-2: Profesionales de la salud ,1-3-7: prestar cuidados personales en general 
771,"9-2: Peones agropecuarios, pesqueros y forestales ","1-2-9: realizar seguimiento, inspección y ensayos "
772,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-3-2: ofrecer orientación 
773,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
774,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
775,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-2-9: realizar seguimiento, inspección y ensayos "
776,2-1: Profesionales de las ciencias y de la ingeniería ,1-1-11: diseñar sistemas y productos 
777,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
778,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
