Unnamed: 0,Ocupaciones,Habilidades
66,1-3: Directores y gerentes de producción y operaciones ,1-8-3: conducir vehículos 
67,9-5: Vendedores ambulantes de servicios y afines ,1-1-15: utilizar más de una lengua 
68,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-3: mover y elevar 
69,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-4: proteger y velar por el cumplimiento 
70,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
71,4-2: Empleados en trato directo con el público ,1-4-4: asignar y controlar recursos 
72,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-4: proteger y velar por el cumplimiento 
73,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
74,4-2: Empleados en trato directo con el público ,1-1-14: actuar y entretener 
75,7-3: Artesanos y operarios de las artes gráficas ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
76,9-5: Vendedores ambulantes de servicios y afines ,1-6-5: ocuparse de plantas y cultivos 
77,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-3-6: preparar y servir alimentos y bebidas 
78,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-4: proteger y velar por el cumplimiento 
79,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
80,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-6-11: limpiar 
81,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
82,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-7-2: construir y repara estructuras 
83,5-2: Vendedores ,1-1-2: negociar 
84,4-4: Otro personal de apoyo administrativo ,"1-4-3: organizar, planificar y programar trabajo y actividades "
85,5-1: Trabajadores de los servicios personales ,1-6-10: manipular animales 
86,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
87,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
88,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-11: limpiar 
89,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
90,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
91,8-1: Operadores de instalaciones fijas y máquinas ,1-8-10: operar aeronaves 
92,4-1: Oficinistas ,1-5-4: acceder a y analizar datos digitales 
93,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-6: prestar asesoramiento y consultoría 
94,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-1-7: promocionar, vender y comprar "
95,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-9: supervisar a personas 
96,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-6-8: utilizar herramientas manuales 
97,5-2: Vendedores ,1-1-14: actuar y entretener 
98,8-1: Operadores de instalaciones fijas y máquinas ,1-8-7: utilizar instrumentos y equipos de precisión 
99,2-1: Profesionales de las ciencias y de la ingeniería ,1-2-4: gestionar información 
100,4-4: Otro personal de apoyo administrativo ,1-4-4: asignar y controlar recursos 
