fecha_online,pais,conteo,conteo_MA,semana
7,Rep. Dominicana,53,68.33333333333333,23 de febrero
7,Ecuador,250,537.3333333333334,23 de febrero
7,Guatemala,168,1305.3333333333333,23 de febrero
7,Honduras,135,331.6666666666667,23 de febrero
7,Nicaragua,52,72.0,23 de febrero
7,Panamá,75,127.0,23 de febrero
7,Paraguay,4,41.333333333333336,23 de febrero
7,El Salvador,231,851.6666666666666,23 de febrero
7,Uruguay,66,257.0,23 de febrero
7,Venezuela,2306,2503.0,23 de febrero
8,Argentina,203,3092.3333333333335,1 de marzo
8,Bolivia,1,11.0,1 de marzo
8,Brasil,4591,6541.0,1 de marzo
8,Chile,195,1820.3333333333333,1 de marzo
8,Colombia,2527,7334.333333333333,1 de marzo
8,Costa Rica,92,232.0,1 de marzo
8,Rep. Dominicana,24,37.333333333333336,1 de marzo
8,Ecuador,157,399.6666666666667,1 de marzo
8,Guatemala,204,847.6666666666666,1 de marzo
8,Honduras,110,228.66666666666666,1 de marzo
8,Nicaragua,38,68.0,1 de marzo
8,Panamá,67,90.33333333333333,1 de marzo
8,Paraguay,9,10.666666666666666,1 de marzo
8,El Salvador,226,595.3333333333334,1 de marzo
8,Uruguay,57,166.0,1 de marzo
8,Venezuela,1523,2158.3333333333335,1 de marzo
9,Argentina,1984,2459.3333333333335,8 de marzo
9,Bolivia,4,4.333333333333333,8 de marzo
9,Brasil,6152,6494.0,8 de marzo
9,Chile,1123,439.6666666666667,8 de marzo
9,Colombia,14646,6003.666666666667,8 de marzo
9,Costa Rica,272,145.66666666666666,8 de marzo
9,Rep. Dominicana,48,41.666666666666664,8 de marzo
9,Ecuador,388,265.0,8 de marzo
9,Guatemala,891,421.0,8 de marzo
9,Honduras,253,166.0,8 de marzo
9,Nicaragua,48,46.0,8 de marzo
9,Panamá,110,84.0,8 de marzo
9,Perú,80,8196.333333333334,8 de marzo
9,Paraguay,21,11.333333333333334,8 de marzo
9,El Salvador,737,398.0,8 de marzo
9,Uruguay,212,111.66666666666667,8 de marzo
9,Venezuela,2726,2185.0,8 de marzo
10,Argentina,7291,3159.3333333333335,15 de marzo
10,Bolivia,121,42.0,15 de marzo
10,Brasil,5164,5302.333333333333,15 de marzo
10,Chile,3656,1658.0,15 de marzo
10,Colombia,31277,16150.0,15 de marzo
10,Costa Rica,368,244.0,15 de marzo
10,Rep. Dominicana,35,35.666666666666664,15 de marzo
10,Ecuador,478,341.0,15 de marzo
10,Guatemala,1626,907.0,15 de marzo
10,Honduras,279,214.0,15 de marzo
10,Nicaragua,106,64.0,15 de marzo
10,Panamá,76,84.33333333333333,15 de marzo
10,Perú,6440,7225.0,15 de marzo
10,Paraguay,58,29.333333333333332,15 de marzo
10,El Salvador,798,587.0,15 de marzo
10,Uruguay,266,178.33333333333334,15 de marzo
10,Venezuela,2503,2250.6666666666665,15 de marzo
11,Argentina,801,3358.6666666666665,22 de marzo
11,Bolivia,12,45.666666666666664,22 de marzo
11,Brasil,6489,5935.0,22 de marzo
11,Chile,5628,3469.0,22 de marzo
11,Colombia,15275,20399.333333333332,22 de marzo
11,Costa Rica,183,274.3333333333333,22 de marzo
11,Rep. Dominicana,76,53.0,22 de marzo
11,Ecuador,133,333.0,22 de marzo
11,Guatemala,633,1050.0,22 de marzo
11,Honduras,65,199.0,22 de marzo
11,Nicaragua,29,61.0,22 de marzo
11,Panamá,35,73.66666666666667,22 de marzo
11,Paraguay,15,31.333333333333332,22 de marzo
11,El Salvador,391,642.0,22 de marzo
11,Uruguay,93,190.33333333333334,22 de marzo
11,Venezuela,543,1924.0,22 de marzo
12,Argentina,4871,4321.0,29 de marzo
12,Brasil,4568,5407.0,29 de marzo
12,Chile,64,3116.0,29 de marzo
12,Colombia,30475,25675.666666666668,29 de marzo
12,Costa Rica,30,193.66666666666666,29 de marzo
12,Rep. Dominicana,2,37.666666666666664,29 de marzo
12,Ecuador,32,214.33333333333334,29 de marzo
12,Guatemala,68,775.6666666666666,29 de marzo
12,Honduras,32,125.33333333333333,29 de marzo
12,Nicaragua,13,49.333333333333336,29 de marzo
12,Panamá,23,44.666666666666664,29 de marzo
12,Paraguay,5,26.0,29 de marzo
12,El Salvador,38,409.0,29 de marzo
12,Uruguay,21,126.66666666666667,29 de marzo
12,Venezuela,448,1164.6666666666667,29 de marzo
13,Argentina,5249,3640.3333333333335,5 de abril
13,Bolivia,6,46.333333333333336,5 de abril
13,Brasil,6605,5887.333333333333,5 de abril
13,Chile,1780,2490.6666666666665,5 de abril
13,Colombia,8909,18219.666666666668,5 de abril
13,Costa Rica,120,111.0,5 de abril
13,Rep. Dominicana,5,27.666666666666668,5 de abril
13,Ecuador,74,79.66666666666667,5 de abril
13,Guatemala,519,406.6666666666667,5 de abril
13,Honduras,98,65.0,5 de abril
13,Nicaragua,24,22.0,5 de abril
13,Panamá,8,22.0,5 de abril
13,Perú,2517,3012.3333333333335,5 de abril
13,Paraguay,12,10.666666666666666,5 de abril
13,El Salvador,249,226.0,5 de abril
13,Uruguay,120,78.0,5 de abril
13,Venezuela,342,444.3333333333333,5 de abril
14,Argentina,2619,4246.333333333333,12 de abril
14,Bolivia,4,7.333333333333333,12 de abril
14,Brasil,5992,5721.666666666667,12 de abril
14,Chile,984,942.6666666666666,12 de abril
14,Colombia,3882,14422.0,12 de abril
14,Costa Rica,39,63.0,12 de abril
14,Rep. Dominicana,98,35.0,12 de abril
14,Ecuador,42,49.333333333333336,12 de abril
14,Guatemala,122,236.33333333333334,12 de abril
14,Honduras,28,52.666666666666664,12 de abril
14,Nicaragua,103,46.666666666666664,12 de abril
14,Panamá,9,13.333333333333334,12 de abril
14,Perú,335,3097.3333333333335,12 de abril
14,Paraguay,98,38.333333333333336,12 de abril
